Actual_Total LUTs,Actual_FFs,Actual_RAMBs,Actual_DSP Blocks,Pred_Total LUTs,Pred_FFs,Pred_RAMBs,Pred_DSP Blocks
13.4004,7.5893,22.8571,0.0,13.399134,7.586158,22.849545,0.00034604617
0.9305,0.516,0.3571,0.0,4.731743,3.5196884,1.9129626,0.00034604617
1.5395,1.3092,0.7143,0.0,1.0774621,0.6580903,0.23181504,0.00034604617
3.6071,3.0648000000000004,1.4286,0.0,4.333116,3.2198594,1.9433972,0.00034604617
4.9154,3.6842000000000006,2.1429,0.0,4.9172645,3.6857162,2.1416528,0.00034604617
2.1335,1.8008,6.428599999999999,0.0,2.1444805,1.8146296,6.4534516,0.00034604617
6.4041,4.7472,2.8571,0.0,6.28263,3.829939,2.1106024,0.00034604617
1.1598,0.891,0.3571,0.0,5.9461403,3.2516115,6.1793804,0.00034604617
7.295100000000001,5.0357,11.428600000000001,0.0,5.9789844,3.2849212,11.1379,0.00034604617
0.5752,0.328,0.3571,0.0,0.57801825,0.32045665,0.3504142,0.00034604617
1.2951,0.9953000000000001,0.3571,0.0,-0.107735,0.017286982,0.38743007,0.00034604617
5.0602,4.1184,0.7143,0.0,2.8070383,2.2213666,0.5427498,0.00034604617
3.8853,2.6316000000000006,5.714300000000001,0.0,2.1469812,1.2912525,2.9061506,0.00034604617
0.7914,0.4624,0.3571,0.0,0.73749024,0.063155554,-0.040417433,0.00034604617
3.7368,1.2867,6.785700000000001,0.0,2.3146808,1.8258421,6.3550987,0.00034604617
